iter	Passed	Remaining
0	0	94
1	1	79
2	2	73
3	2	68
4	3	67
5	4	68
6	5	66
7	5	66
8	6	67
9	7	68
10	8	67
11	9	66
12	9	65
13	10	64
14	11	63
15	11	62
16	12	60
17	13	60
18	13	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	55
24	18	54
25	19	54
26	19	53
27	20	53
28	21	52
29	22	52
30	23	51
31	23	50
32	24	50
33	25	49
34	26	48
35	26	47
36	27	47
37	28	46
38	29	45
39	30	45
40	30	44
41	31	43
42	32	42
43	33	42
44	33	41
45	34	40
46	35	40
47	36	39
48	37	38
49	38	38
50	38	37
51	39	36
52	40	35
53	40	34
54	41	33
55	42	33
56	42	32
57	43	31
58	44	30
59	45	30
60	45	29
61	46	28
62	47	28
63	48	27
64	49	26
65	50	25
66	50	25
67	51	24
68	52	23
69	52	22
70	53	21
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	15
79	60	15
80	61	14
81	62	13
82	63	12
83	64	12
84	65	11
85	65	10
86	66	9
87	67	9
88	68	8
89	68	7
90	69	6
91	70	6
92	71	5
93	71	4
94	72	3
95	73	3
96	74	2
97	74	1
98	75	0
99	76	0
